20260219T,459.94,0,0,0,1
20260220T,457.73,459.68,460.4,0.0,1
20260221T,457.73,459.68,460.4,0.0,1
20260223T,462.83,463.98,464.96,467.19,1
20260224T,476.5,477.61,479.08,480.61,1
20260225T,470.6,471.96,472.99,474.87,1
20260302T,480.02,481.05,481.93,483.13,1
20260303T,486.31,487.24,489.11,490.19,1
20260304T,465.08,467.91,469.1,469.97,1
20260309T,471.98,473.37,474.27,0.0,1
20260310T,466.31,467.9,469.24,470.43,1
20260311T,460.0,475.0,480.0,485.0,1
20260330T,406.06,413.84,414.77,415.56,1
20260331T,412.98,414.94,415.58,416.53,1
20260401T,420.27,423.39,424.27,430.14,1
